,Date,Date_local,pool_price
0,2022-01-01 00:00:00+00:00,2021-12-31 17:00:00-07:00,788.92
1,2022-01-01 01:00:00+00:00,2021-12-31 18:00:00-07:00,670.83
2,2022-01-01 02:00:00+00:00,2021-12-31 19:00:00-07:00,129.11
3,2022-01-01 03:00:00+00:00,2021-12-31 20:00:00-07:00,70.25
4,2022-01-01 04:00:00+00:00,2021-12-31 21:00:00-07:00,70.94
5,2022-01-01 05:00:00+00:00,2021-12-31 22:00:00-07:00,69.89
6,2022-01-01 06:00:00+00:00,2021-12-31 23:00:00-07:00,66.17
7,2022-01-01 07:00:00+00:00,2022-01-01 00:00:00-07:00,65.64
8,2022-01-01 08:00:00+00:00,2022-01-01 01:00:00-07:00,61.59
9,2022-01-01 09:00:00+00:00,2022-01-01 02:00:00-07:00,56.67
10,2022-01-01 10:00:00+00:00,2022-01-01 03:00:00-07:00,45.58
11,2022-01-01 11:00:00+00:00,2022-01-01 04:00:00-07:00,57.39
12,2022-01-01 12:00:00+00:00,2022-01-01 05:00:00-07:00,58.11
13,2022-01-01 13:00:00+00:00,2022-01-01 06:00:00-07:00,53.37
14,2022-01-01 14:00:00+00:00,2022-01-01 07:00:00-07:00,41.23
15,2022-01-01 15:00:00+00:00,2022-01-01 08:00:00-07:00,40.92
16,2022-01-01 16:00:00+00:00,2022-01-01 09:00:00-07:00,39.58
17,2022-01-01 17:00:00+00:00,2022-01-01 10:00:00-07:00,41.14
18,2022-01-01 18:00:00+00:00,2022-01-01 11:00:00-07:00,51.16
19,2022-01-01 19:00:00+00:00,2022-01-01 12:00:00-07:00,50.88
20,2022-01-01 20:00:00+00:00,2022-01-01 13:00:00-07:00,54.35
21,2022-01-01 21:00:00+00:00,2022-01-01 14:00:00-07:00,52.48
22,2022-01-01 22:00:00+00:00,2022-01-01 15:00:00-07:00,53.93
23,2022-01-01 23:00:00+00:00,2022-01-01 16:00:00-07:00,62.89
24,2022-01-02 00:00:00+00:00,2022-01-01 17:00:00-07:00,83.49
25,2022-01-02 01:00:00+00:00,2022-01-01 18:00:00-07:00,69.75
26,2022-01-02 02:00:00+00:00,2022-01-01 19:00:00-07:00,66.28
27,2022-01-02 03:00:00+00:00,2022-01-01 20:00:00-07:00,55.82
28,2022-01-02 04:00:00+00:00,2022-01-01 21:00:00-07:00,47.65
29,2022-01-02 05:00:00+00:00,2022-01-01 22:00:00-07:00,46.66
30,2022-01-02 06:00:00+00:00,2022-01-01 23:00:00-07:00,55.65
31,2022-01-02 07:00:00+00:00,2022-01-02 00:00:00-07:00,48.74
32,2022-01-02 08:00:00+00:00,2022-01-02 01:00:00-07:00,32.45
33,2022-01-02 09:00:00+00:00,2022-01-02 02:00:00-07:00,33.48
34,2022-01-02 10:00:00+00:00,2022-01-02 03:00:00-07:00,38.35
35,2022-01-02 11:00:00+00:00,2022-01-02 04:00:00-07:00,36.12
36,2022-01-02 12:00:00+00:00,2022-01-02 05:00:00-07:00,40.34
37,2022-01-02 13:00:00+00:00,2022-01-02 06:00:00-07:00,46.45
38,2022-01-02 14:00:00+00:00,2022-01-02 07:00:00-07:00,46.29
39,2022-01-02 15:00:00+00:00,2022-01-02 08:00:00-07:00,48.44
40,2022-01-02 16:00:00+00:00,2022-01-02 09:00:00-07:00,42.75
41,2022-01-02 17:00:00+00:00,2022-01-02 10:00:00-07:00,38.62
42,2022-01-02 18:00:00+00:00,2022-01-02 11:00:00-07:00,47.67
43,2022-01-02 19:00:00+00:00,2022-01-02 12:00:00-07:00,48.09
44,2022-01-02 20:00:00+00:00,2022-01-02 13:00:00-07:00,49.11
45,2022-01-02 21:00:00+00:00,2022-01-02 14:00:00-07:00,51.94
46,2022-01-02 22:00:00+00:00,2022-01-02 15:00:00-07:00,49.52
47,2022-01-02 23:00:00+00:00,2022-01-02 16:00:00-07:00,59.43
48,2022-01-03 00:00:00+00:00,2022-01-02 17:00:00-07:00,70.95
49,2022-01-03 01:00:00+00:00,2022-01-02 18:00:00-07:00,151.42
50,2022-01-03 02:00:00+00:00,2022-01-02 19:00:00-07:00,96.94
51,2022-01-03 03:00:00+00:00,2022-01-02 20:00:00-07:00,107.75
52,2022-01-03 04:00:00+00:00,2022-01-02 21:00:00-07:00,77.41
53,2022-01-03 05:00:00+00:00,2022-01-02 22:00:00-07:00,100.08
54,2022-01-03 06:00:00+00:00,2022-01-02 23:00:00-07:00,90.69
55,2022-01-03 07:00:00+00:00,2022-01-03 00:00:00-07:00,70.43
56,2022-01-03 08:00:00+00:00,2022-01-03 01:00:00-07:00,70.25
57,2022-01-03 09:00:00+00:00,2022-01-03 02:00:00-07:00,67.91
58,2022-01-03 10:00:00+00:00,2022-01-03 03:00:00-07:00,68.25
59,2022-01-03 11:00:00+00:00,2022-01-03 04:00:00-07:00,70.66
60,2022-01-03 12:00:00+00:00,2022-01-03 05:00:00-07:00,71.98
61,2022-01-03 13:00:00+00:00,2022-01-03 06:00:00-07:00,74.25
62,2022-01-03 14:00:00+00:00,2022-01-03 07:00:00-07:00,64.38
63,2022-01-03 15:00:00+00:00,2022-01-03 08:00:00-07:00,79.04
64,2022-01-03 16:00:00+00:00,2022-01-03 09:00:00-07:00,170.74
65,2022-01-03 17:00:00+00:00,2022-01-03 10:00:00-07:00,218.04
66,2022-01-03 18:00:00+00:00,2022-01-03 11:00:00-07:00,148.77
67,2022-01-03 19:00:00+00:00,2022-01-03 12:00:00-07:00,176.62
68,2022-01-03 20:00:00+00:00,2022-01-03 13:00:00-07:00,186.47
